stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
TFC,2023/02/22,44.85,47,44.85,47,60,2760
TFHI,2023/02/22,98.1,98.1,98.05,98.05,360,35300
TLII,2023/02/22,10,10,10,10,0,0
TLJJ,2023/02/22,10,10,10,10,0,0
TUGS,2023/02/22,1.07,1.07,1.02,1.03,805000,834510
UBP,2023/02/22,88.6,88.6,87.2,87.5,343960,30110000
UNI,2023/02/22,0.246,0.246,0.246,0.246,0,0
UPM,2023/02/22,0.0054,0.0054,0.0054,0.0054,4000000,21600
URC,2023/02/22,140,140.2,138.3,138.5,553490,76830000
V,2023/02/22,0.75,0.75,0.75,0.75,57000,42750
VITA,2023/02/22,0.65,0.69,0.63,0.63,234000,149090
VLL,2023/02/22,1.86,1.87,1.84,1.86,2320000,4300000
VMC,2023/02/22,3.36,3.36,3.36,3.36,0,0
VREIT,2023/02/22,1.69,1.71,1.69,1.69,57000,96590
VUL,2023/02/22,1.03,1.03,1,1.02,90000,90290
VVT,2023/02/22,14,14,14,14,13600,190400
WEB,2023/02/22,2.41,2.41,2.32,2.33,931000,2200000
WIN,2023/02/22,0.25,0.25,0.25,0.25,0,0
WLCON,2023/02/22,32.05,33,31,31.45,2430000,78300000
WPI,2023/02/22,0.45,0.45,0.445,0.445,20000,8950
X,2023/02/22,0.32,0.32,0.32,0.32,0,0
ZHI,2023/02/22,0.13,0.13,0.13,0.13,0,0
